United_States USD
Pakistan PKR
India INR
Eurozone EUR
United_Kingdom GBP
United_Arab_Emirates AED
Saudi_Arabia SAR
Japan JPY
China CNY
Canada CAD
Australia AUD
Switzerland CHF
Sweden SEK
Norway NOK
Denmark DKK
Turkey TRY
South_Africa ZAR
New_Zealand NZD
Singapore SGD
Hong_Kong HKD
Malaysia MYR
Thailand THB
Indonesia IDR
Philippines PHP
Bangladesh BDT
Sri_Lanka LKR
Nepal NPR
Iraq IQD
Kuwait KWD
Bahrain BHD
Oman OMR
Qatar QAR
Egypt EGP
Morocco MAD
Algeria DZD
Nigeria NGN
Kenya KES
Uganda UGX
Ghana GHS
Brazil BRL
Mexico MXN
Israel ISL
